Campaña;Cultivo;Actividad;"Cambio
Actividad";Centro;Administracion;Zona;Establecimiento;Lote;CECO;Ha Totales;Ha Asignadas;Código;Nombre;Fecha Inicio;Fecha Fin;Fecha Contable;Fecha Creacion;Fecha Actualiz.;Estado;Categoria;Cod. SAP;Insumo;Almacen SAP;U. Medida;Cantidad Real;Dosis Real;Porc. utiliza Real;Costo x Unid. Real usd;Costo x HA Real usd;Costo Total usd;Gasto x Unid. Real  $$;Gasto x HA Real $$;GastoTotal $$;Nro° OT;Contratista/Operario;Maquinaria;TC;Socio;Nro° OT Anulación;Observaciones
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30002591;30002591 - PLUS POR FERTILIZACION EN SIEMBRA;04/12/2024;17/12/2024;17/12/2024;26/12/2024;26/12/2024;Terminada;FERTILIZANTES;723125;SUPER FOSFATO SIMPLE;2100-2160 - Anonima SA - Tenené;KG;14,902.19;67.74;100.00;0.40;26.99;5,938.52;406.47;27,530.06;6,057,293.02;400000128;;;1020.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;06/12/2024;07/12/2024;07/12/2024;26/12/2024;30/12/2024;Terminada;AGROQPQCOADYUVANTE;722543;COADYUVANTE HUMECTANTE VERDE BIO;2100-2160 - Anonima SA - Tenené;L;10.84;0.05;100.00;23.95;1.18;259.61;24,238.11;1,194.22;262,726.92;400000138;;;1012.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;06/12/2024;07/12/2024;07/12/2024;26/12/2024;30/12/2024;Terminada;AGROQPQHERBICIDA;610223;GLIFOSATO 79.2% SG;2100-2160 - Anonima SA - Tenené;KG;216.79;0.99;100.00;6.24;6.15;1,353.04;6,316.20;6,223.95;1,369,277.43;400000138;;;1012.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;06/12/2024;07/12/2024;07/12/2024;26/12/2024;30/12/2024;Terminada;AGROQFERTILLIQUIDOS;700711;SULFATO DE AMONIO LIQUIDO;2100-2160 - Anonima SA - Tenené;L;112.41;0.51;100.00;0.83;0.42;93.31;840.06;429.21;94,430.24;400000138;;;1012.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;06/12/2024;07/12/2024;07/12/2024;26/12/2024;30/12/2024;Terminada;AGROQUIMICOS;716992;S-METOLACLORO 96% EC;2100-2160 - Anonima SA - Tenené;L;216.79;0.99;100.00;7.19;7.09;1,558.71;7,276.28;7,170.08;1,577,412.51;400000138;;;1012.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;548;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;06/12/2024;07/12/2024;07/12/2024;26/12/2024;30/12/2024;Terminada;AGROQPQHERBICIDA;708882;PROMETRINA 50% SC;2100-2160 - Anonima SA - Tenené;L;439.60;2.00;100.00;9.38;18.74;4,123.43;9,492.56;18,967.78;4,172,915.47;400000138;;;1012.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;220;40001443;40001443 - SIEMBRA NEUMATICA C/MONITOR Y ;13/12/2024;17/12/2024;17/12/2024;26/12/2024;26/12/2024;Terminada;SEMILLAS;724012;SEMILLA DE ALGODON GUARANI INTA BGRR;2100-2160 - Anonima SA - Tenené;BAG;173.00;0.79;100.00;87.51;68.82;15,139.61;91,275.22;71,775.51;15,790,613.86;400000125;;;1043.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;335;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;28/12/2024;29/12/2024;29/12/2024;20/01/2025;20/01/2025;Terminada;AGROQUIMICOS;713073;LUFENURON 5%  PROFENOFOS 50% EC;2100-2160 - Anonima SA - Tenené;L;55.82;0.25;100.00;15.17;3.85;846.81;15,594.97;3,956.91;870,524.92;400000216;;;1028.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;335;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;28/12/2024;29/12/2024;29/12/2024;20/01/2025;20/01/2025;Terminada;AGROQFERTILLIQUIDOS;700711;SULFATO DE AMONIO LIQUIDO;2100-2160 - Anonima SA - Tenené;L;102.38;0.47;100.00;0.83;0.39;85.01;853.65;397.27;87,392.99;400000216;;;1028.00;;;
2024-2025;Algodón;Algodón;NO;2100;2100 - Campos;Zona Centro;Tenené ;Lote 06;1124806;221.15;335;30000836;30000836 - PULVERIZACION TERRESTRE X 80 ;28/12/2024;29/12/2024;29/12/2024;20/01/2025;20/01/2025;Terminada;AGROQPQHERBICIDA;610223;GLIFOSATO 79.2% SG;2100-2160 - Anonima SA - Tenené;KG;178.63;0.81;100.00;6.25;5.07;1,115.76;6,421.20;5,213.68;1,146,998.17;400000216;;;1028.00;;;
